hipid	total_tcrs	TCRBV01	TCRBV02	TCRBV03	TCRBV04	TCRBV05	TCRBV06	TCRBV07	TCRBV08	TCRBV09	TCRBV10	TCRBV11	TCRBV12	TCRBV13	TCRBV14	TCRBV15	TCRBV16	TCRBV17	TCRBV18	TCRBV19	TCRBV20	TCRBV21	TCRBV22	TCRBV23	TCRBV24	TCRBV25	TCRBV26	TCRBV27	TCRBV28	TCRBV29	TCRBV30	TCRBVA
HIP01947	204147	0.000803	0.044228	0.020015	0.078644	0.127717	0.143960	0.108633	0.000000	0.035195	0.024786	0.018403	0.048891	0.006128	0.006314	0.013378	0.000833	0.000000	0.017909	0.033799	0.077194	0.003522	0.000010	0.001680	0.012457	0.009464	0.000000	0.039996	0.058042	0.031634	0.036337	0.000029
HIP02024	286585	0.000614	0.040135	0.035808	0.057121	0.129121	0.144313	0.117759	0.000000	0.035250	0.023476	0.028452	0.051084	0.010552	0.009617	0.015346	0.000729	0.000000	0.025130	0.043785	0.075440	0.004383	0.000014	0.001853	0.012722	0.007684	0.000000	0.033917	0.059804	0.021411	0.014474	0.000007
HIP02078	199416	0.000341	0.033563	0.035714	0.045021	0.124298	0.137622	0.106180	0.000000	0.035328	0.027440	0.034541	0.053767	0.011067	0.010852	0.015300	0.000827	0.000000	0.025234	0.050332	0.078630	0.003856	0.000005	0.001504	0.012697	0.010937	0.000005	0.042584	0.045232	0.026658	0.030439	0.000025
HIP02090	216515	0.000850	0.041711	0.035522	0.066088	0.121978	0.147431	0.109346	0.000005	0.027712	0.019989	0.029859	0.053691	0.010493	0.007667	0.013121	0.000434	0.000009	0.013865	0.041720	0.069367	0.004651	0.000005	0.001977	0.023633	0.013103	0.000000	0.042556	0.007593	0.031605	0.064005	0.000014
HIP02103	317187	0.000545	0.042234	0.030562	0.041297	0.115919	0.138552	0.117363	0.000000	0.051140	0.025849	0.028740	0.048278	0.010782	0.008314	0.014638	0.000545	0.000000	0.016886	0.037905	0.083869	0.003856	0.000003	0.001769	0.013601	0.010215	0.000000	0.046222	0.039355	0.029355	0.042190	0.000016
HIP02112	450196	0.000660	0.041771	0.032561	0.044712	0.107524	0.113566	0.120143	0.000000	0.041766	0.028265	0.025715	0.061231	0.011040	0.009558	0.011342	0.000782	0.000000	0.024534	0.039900	0.085598	0.004911	0.000000	0.002021	0.013847	0.007994	0.000000	0.046038	0.071658	0.024922	0.027912	0.000027
HIP02126	296707	0.000435	0.031941	0.027418	0.052291	0.119074	0.149002	0.112259	0.000000	0.024523	0.037893	0.032261	0.055216	0.007405	0.009134	0.014644	0.000789	0.000000	0.024000	0.045550	0.085927	0.004078	0.000003	0.001503	0.020020	0.016114	0.000000	0.046167	0.011732	0.033531	0.037043	0.000051
HIP02271	220585	0.000517	0.045819	0.034059	0.042641	0.123689	0.117887	0.129556	0.000000	0.037609	0.026412	0.032532	0.042573	0.009303	0.006827	0.015572	0.001142	0.000000	0.027336	0.042628	0.101652	0.004769	0.000009	0.001809	0.009978	0.006800	0.000000	0.032912	0.049740	0.024780	0.031426	0.000023
HIP02663	144092	0.000902	0.039836	0.030265	0.033624	0.119181	0.125441	0.109888	0.000000	0.030376	0.023763	0.023804	0.047886	0.007905	0.011583	0.015018	0.000888	0.000000	0.024283	0.057609	0.063917	0.005524	0.000014	0.001804	0.013436	0.009015	0.000000	0.062099	0.076569	0.027996	0.037358	0.000014
HIP02734	86626	0.000750	0.029091	0.034401	0.038372	0.101863	0.115543	0.106850	0.000000	0.041604	0.032704	0.036144	0.040854	0.004987	0.009512	0.014915	0.001224	0.000000	0.020548	0.053090	0.078337	0.006465	0.000023	0.002413	0.014915	0.009027	0.000000	0.067151	0.078418	0.026424	0.034366	0.000012
